dataset_id,method,parameter_name,parameter_value,selected_round,late_window_mean_750k_to_1m,terminal_classification,development_seeds,held_out_seeds_untouched
hopper-medium-v2,global,negative_scale,0.065,round2,53.0055613767383,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-v2,reciprocal_linear,reciprocal_linear_coefficient,1.0,round1,54.37938687266703,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,0.2,round2,55.97444456301,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-replay-v2,global,negative_scale,1.0,round2,85.08126613098827,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-replay-v2,reciprocal_linear,reciprocal_linear_coefficient,1.0,round1,83.06925187630226,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-replay-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,0.3,round2,87.08110664830193,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-expert-v2,global,negative_scale,0.008,round2,71.66007281112124,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-expert-v2,reciprocal_linear,reciprocal_linear_coefficient,25.0,round2,69.65496531974537,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
hopper-medium-expert-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,1.0,round1,66.40567540391862,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-v2,global,negative_scale,0.003,round1,78.9515751949803,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-v2,reciprocal_linear,reciprocal_linear_coefficient,3.0,round1,81.1219345312173,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,0.5,round1,79.18295528388879,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-replay-v2,global,negative_scale,0.003,round1,67.51878607326722,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-replay-v2,reciprocal_linear,reciprocal_linear_coefficient,0.5,round1,71.35745431004598,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-replay-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,30.0,round1,65.52177301015675,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-expert-v2,global,negative_scale,0.1,round1,108.46330847627979,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-expert-v2,reciprocal_linear,reciprocal_linear_coefficient,1.0,round1,107.7884977659054,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
walker2d-medium-expert-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,90.0,round2,107.04866923591659,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-v2,global,negative_scale,0.02,round2,46.05615276773241,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-v2,reciprocal_linear,reciprocal_linear_coefficient,0.05,round2,47.06690147200399,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,0.6,round2,46.84067129215295,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-replay-v2,global,negative_scale,0.01,round1,42.04642221058926,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-replay-v2,reciprocal_linear,reciprocal_linear_coefficient,2.0,round2,42.41547054336027,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-replay-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,0.6,round2,42.43463199890701,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-expert-v2,global,negative_scale,0.03,round1,88.5609112165506,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-expert-v2,reciprocal_linear,reciprocal_linear_coefficient,8.0,round2,89.24855000268239,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
halfcheetah-medium-expert-v2,reciprocal_quadratic,reciprocal_quadratic_coefficient,300.0,round2,89.30976073412657,fixed_horizon_inconclusive,200;201;202;203,204;205;206;207
