actor_update_mode,control,dataset,exp_coefficient,failed_cell_imputation,gae_late_wins,gae_minus_td_500k_mean,gae_minus_td_final_mean,gae_minus_td_late_mean,paired_cells,paired_seed_set_complete,paired_seeds_observed
a2c,positive_only,hopper-medium-expert-v2,,False,4,40.07856881297492,17.657800459329483,30.67030900095365,4,True,"[200, 201, 202, 203]"
a2c,c=64,hopper-medium-expert-v2,64.0,False,3,10.682163206879355,30.356275021260416,20.9777959387489,4,True,"[200, 201, 202, 203]"
a2c,c=128,hopper-medium-expert-v2,128.0,False,2,8.39335168737905,23.35974882197278,12.442805468294823,4,True,"[200, 201, 202, 203]"
a2c,c=256,hopper-medium-expert-v2,256.0,False,4,-0.0912089068684576,56.423871865165765,39.86826858874491,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,positive_only,hopper-medium-expert-v2,,False,3,32.86336129848488,11.892250485540606,25.63536530323904,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=64,hopper-medium-expert-v2,64.0,False,4,-2.977930263316084,55.99305383346229,37.17703074157849,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=128,hopper-medium-expert-v2,128.0,False,4,31.468030811600634,21.24634219573289,20.662308818738488,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=256,hopper-medium-expert-v2,256.0,False,4,6.524122941917195,35.16754008895298,30.892935128845,4,True,"[200, 201, 202, 203]"
a2c,positive_only,walker2d-medium-replay-v2,,False,2,-12.385238223933884,5.1419787442124445,2.185516532347229,4,True,"[200, 201, 202, 203]"
a2c,c=64,walker2d-medium-replay-v2,64.0,False,3,2.278039101764673,-0.7988934750881054,2.551462757148455,4,True,"[200, 201, 202, 203]"
a2c,c=128,walker2d-medium-replay-v2,128.0,False,4,-9.895881215055685,23.023656951646345,15.683575437522585,4,True,"[200, 201, 202, 203]"
a2c,c=256,walker2d-medium-replay-v2,256.0,False,3,-2.802696059434062,5.537455293963388,7.080084139045034,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,positive_only,walker2d-medium-replay-v2,,False,2,-4.352451117553708,14.116185678773462,4.105099462822578,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=64,walker2d-medium-replay-v2,64.0,False,4,-6.372176113203111,0.7681728720766667,4.647267880392501,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=128,walker2d-medium-replay-v2,128.0,False,3,3.0762005711851668,2.6841081023871087,0.2921232555751789,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=256,walker2d-medium-replay-v2,256.0,False,2,-0.4057884786254604,-8.57040233497735,-2.6379955448964427,4,True,"[200, 201, 202, 203]"
a2c,positive_only,walker2d-medium-v2,,False,4,11.765464587162056,5.582620889786576,9.114492090985877,4,True,"[200, 201, 202, 203]"
a2c,c=64,walker2d-medium-v2,64.0,False,4,13.501609122096944,15.923021564491956,10.274831976671836,4,True,"[200, 201, 202, 203]"
a2c,c=128,walker2d-medium-v2,128.0,False,4,11.830490380351543,11.433244300320332,4.225266021320589,4,True,"[200, 201, 202, 203]"
a2c,c=256,walker2d-medium-v2,256.0,False,4,18.74448953868523,14.512153543566749,14.402629167249373,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,positive_only,walker2d-medium-v2,,False,4,16.428407157119096,18.403676604412183,13.825776726570677,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=64,walker2d-medium-v2,64.0,False,3,11.532710216003188,10.620926391889014,5.27142091812339,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=128,walker2d-medium-v2,128.0,False,4,15.419746383389445,17.805482848897142,16.00876518689962,4,True,"[200, 201, 202, 203]"
ppo_clip_k4,c=256,walker2d-medium-v2,256.0,False,4,24.53096222851842,20.15284501282032,16.414093251393787,4,True,"[200, 201, 202, 203]"
