actor_update_mode,advantage_estimator,best_mean,control,critic_audit_failures,dataset,exp_coefficient,final_mean,final_seed_std,late_window_mean_800k_1m,late_window_seed_std,nan_inf_numerical_failures,paired_seed_set_complete,score_at_500k_mean,seeds_observed,support_or_variance_boundary_events
a2c,gae,92.99769529780582,positive_only,0,hopper-medium-expert-v2,,79.67295456345204,25.676602274730342,72.96869090078809,16.003563239337137,0,True,64.37659773900548,"[200, 201, 202, 203]",0
a2c,gae,106.3123886658634,c=64,0,hopper-medium-expert-v2,64.0,80.77703619147617,20.936824478278,57.4988897091318,18.752021806829827,0,True,56.41549385533411,"[200, 201, 202, 203]",0
a2c,gae,102.14378706498476,c=128,0,hopper-medium-expert-v2,128.0,83.76485998180299,41.56920473003034,67.6286790077356,24.93226910542021,0,True,61.73047435610072,"[200, 201, 202, 203]",0
a2c,gae,103.46263965020292,c=256,0,hopper-medium-expert-v2,256.0,91.85856592683056,15.27493775881628,81.58148097133022,9.657465417746764,0,True,71.60368293029258,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,97.64474720517852,positive_only,0,hopper-medium-expert-v2,,72.15852064560664,30.775243866155108,73.49455870793686,19.68207810701715,0,True,76.44959011629686,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,95.0249420764456,c=64,0,hopper-medium-expert-v2,64.0,86.78800252513788,20.52591614186517,76.69401981782512,14.846671662575147,0,True,50.12018531378258,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,94.24553733237316,c=128,0,hopper-medium-expert-v2,128.0,78.76659652890868,24.94831575519847,70.98056081199749,12.846401272540616,0,True,70.50644585848994,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,95.82720156380188,c=256,0,hopper-medium-expert-v2,256.0,82.68307882318999,18.13247034443394,80.5946570165485,15.883717094000437,0,True,76.96988069566635,"[200, 201, 202, 203]",0
a2c,td,84.84234505552398,positive_only,0,hopper-medium-expert-v2,,62.01515410412256,42.49390939500104,42.29838189983444,30.72589909372565,0,True,24.29802892603056,"[200, 201, 202, 203]",0
a2c,td,75.44917104467369,c=64,0,hopper-medium-expert-v2,64.0,50.42076117021576,31.040633890724077,36.5210937703829,12.998840049569274,0,True,45.73333064845475,"[200, 201, 202, 203]",0
a2c,td,78.13526877985271,c=128,0,hopper-medium-expert-v2,128.0,60.4051111598302,23.15822604985861,55.185873539440784,9.391588994305522,0,True,53.33712266872168,"[200, 201, 202, 203]",0
a2c,td,91.20042748680343,c=256,0,hopper-medium-expert-v2,256.0,35.4346940616648,21.887783999040337,41.71321238258532,21.08339942666203,0,True,71.69489183716104,"[200, 201, 202, 203]",0
ppo_clip_k4,td,96.43829972193436,positive_only,0,hopper-medium-expert-v2,,60.26627016006604,21.93841028407753,47.85919340469783,19.010742984302148,0,True,43.58622881781197,"[200, 201, 202, 203]",0
ppo_clip_k4,td,84.29501449222012,c=64,0,hopper-medium-expert-v2,64.0,30.7949486916756,29.235280855650416,39.51698907624663,21.78635667268903,0,True,53.09811557709866,"[200, 201, 202, 203]",0
ppo_clip_k4,td,83.93539403951209,c=128,0,hopper-medium-expert-v2,128.0,57.5202543331758,35.333388258187085,50.31825199325901,18.96219858399689,0,True,39.0384150468893,"[200, 201, 202, 203]",0
ppo_clip_k4,td,87.34927265362653,c=256,0,hopper-medium-expert-v2,256.0,47.515538734237005,21.633974361613248,49.7017218877035,9.940941613292498,0,True,70.44575775374915,"[200, 201, 202, 203]",0
a2c,gae,79.41406579420013,positive_only,0,walker2d-medium-replay-v2,,62.77349069531223,4.21823302900187,63.093058712071006,9.56435373440725,0,True,46.79807747063925,"[200, 201, 202, 203]",0
a2c,gae,76.81140047241342,c=64,0,walker2d-medium-replay-v2,64.0,60.34209730027944,17.191807922880198,60.31991909656266,7.620362339590609,0,True,59.90941080538677,"[200, 201, 202, 203]",0
a2c,gae,76.16873679663075,c=128,0,walker2d-medium-replay-v2,128.0,72.18505704633425,3.383165887153936,64.51745601915526,3.512483874705796,0,True,59.73969593621999,"[200, 201, 202, 203]",0
a2c,gae,81.47681243539502,c=256,0,walker2d-medium-replay-v2,256.0,60.73871733353488,11.306937298726975,63.048830676077465,5.648496798548703,0,True,53.91153577181129,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,79.26477835550892,positive_only,0,walker2d-medium-replay-v2,,66.3937760262328,4.646929668374565,63.68174882858807,7.068476027182323,0,True,61.88153795619243,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,82.58079774232098,c=64,0,walker2d-medium-replay-v2,64.0,54.53855943648927,17.09845921245069,61.2286249048576,13.057858373132378,0,True,54.37334155313441,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,76.56546923881496,c=128,0,walker2d-medium-replay-v2,128.0,58.51713939430785,15.754495271553496,60.62041026619645,5.883579833945407,0,True,67.1711747213975,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,79.8084543098407,c=256,0,walker2d-medium-replay-v2,256.0,55.50421873387453,13.777823035241887,59.38260356038298,12.473189634534316,0,True,60.412473709899984,"[200, 201, 202, 203]",0
a2c,td,74.4021769070188,positive_only,0,walker2d-medium-replay-v2,,57.63151195109978,10.453625153930464,60.90754217972378,9.40208713090536,0,True,59.18331569457313,"[200, 201, 202, 203]",0
a2c,td,75.97371813581803,c=64,0,walker2d-medium-replay-v2,64.0,61.14099077536754,8.989542297591445,57.768456339414215,9.417283216103272,0,True,57.6313717036221,"[200, 201, 202, 203]",0
a2c,td,79.13975399869383,c=128,0,walker2d-medium-replay-v2,128.0,49.16140009468791,7.534580377926741,48.83388058163269,6.5943476940838455,0,True,69.63557715127567,"[200, 201, 202, 203]",0
a2c,td,77.21456428473252,c=256,0,walker2d-medium-replay-v2,256.0,55.20126203957149,12.791219811516468,55.96874653703243,10.842032640088815,0,True,56.71423183124535,"[200, 201, 202, 203]",0
ppo_clip_k4,td,74.04833643438646,positive_only,0,walker2d-medium-replay-v2,,52.27759034745935,19.123200031802757,59.57664936576549,15.411051059828392,0,True,66.23398907374614,"[200, 201, 202, 203]",0
ppo_clip_k4,td,80.69495775284241,c=64,0,walker2d-medium-replay-v2,64.0,53.7703865644126,20.905341182206516,56.58135702446509,10.099892164825611,0,True,60.74551766633752,"[200, 201, 202, 203]",0
ppo_clip_k4,td,78.23630008580176,c=128,0,walker2d-medium-replay-v2,128.0,55.83303129192074,13.513658770475583,60.32828701062127,10.077096230957949,0,True,64.09497415021234,"[200, 201, 202, 203]",0
ppo_clip_k4,td,78.08037932929265,c=256,0,walker2d-medium-replay-v2,256.0,64.07462106885188,7.890895260912385,62.02059910527942,9.347980037550606,0,True,60.81826218852544,"[200, 201, 202, 203]",0
a2c,gae,82.93110578722639,positive_only,0,walker2d-medium-v2,,74.99944960312935,8.70871812643147,74.25509132348368,1.8508528882704631,0,True,81.82744204100507,"[200, 201, 202, 203]",0
