phase,control,c,best_mean,late_mean,final_mean,best_to_final_drop,task_wins,seed_task_wins
P1,positive_only,,77.3923336331,65.3053876161,68.3166037999,9.0757298332,,
P2,c0.015625,0.015625,78.2068953432,64.8863016547,62.1744297877,16.0324655555,4,9
P2,c0.025,0.025,78.9350306508,63.7140609073,59.7328780126,19.2021526382,6,10
P2,c0.04,0.04,78.148243457,62.1267933494,58.9491097595,19.1991336976,2,4
P2,c0.0625,0.0625,80.3389295173,60.2981588985,54.7540694787,25.5848600386,5,9
P2,c0.08,0.08,77.4900241675,59.1869344258,54.2560179929,23.2340061745,6,10
P2,c0.10,0.1,79.7161880743,56.7543780502,54.9765749604,24.7396131139,2,6
P2,c0.125,0.125,78.4317391183,57.3451474874,55.5434872521,22.8882518663,4,8
P2,c0.16,0.16,78.9693192655,55.4924471128,49.1397988662,29.8295203993,4,7
P2,c0.20,0.2,79.8623553136,50.6457300218,49.4462236476,30.416131666,3,6
P1,c0.25,0.25,66.038668638,47.67854193,45.7865578585,20.2521107795,2,4
P1,c0.5,0.5,60.7756541659,37.538810626,37.1540368214,23.6216173445,1,2
P1,c1,1,53.2168538927,28.385295302,27.3390347651,25.8778191276,1,2
P1,c2,2,43.1042048139,24.4180754565,23.851080682,19.253124132,1,2
P1,c4,4,35.163008981,17.0786162983,15.4961314072,19.6668775738,0,1
P1,c8,8,34.4420735572,16.7762120775,16.7192624185,17.7228111387,0,0
P1,c16,16,30.0254984568,14.9370905723,11.797970921,18.2275275357,0,0
P1,c32,32,29.2320058667,12.7513916582,10.1548656124,19.0771402543,0,0
P1,c64,64,25.8821826409,12.0043791779,10.666277546,15.2159050948,0,0
P1,uncontrolled,,4.5270661586,0.4611400999,0.4161077269,4.1109584318,0,0
