control,dataset,exp_coefficient,ppo_k4_minus_a2c_late,ppo_kl_k16_minus_a2c_late,ppo_kl_k16_minus_ppo_k4_late
positive_only,hopper-medium-expert-v2,,3.19711202776913,15.320337997782822,12.123225970013692
c=0.25,hopper-medium-expert-v2,0.25,-0.5728797428813,0.0509314987027738,0.6238112415840738
c=0.5,hopper-medium-expert-v2,0.5,-0.3208406375932784,1.300384671702482,1.6212253092957605
c=1,hopper-medium-expert-v2,1.0,-0.09843251319724144,1.402203465664718,1.5006359788619594
c=2,hopper-medium-expert-v2,2.0,-2.332710561203844,1.2060664311736708,3.5387769923775148
c=4,hopper-medium-expert-v2,4.0,-0.611061697277119,3.7247145599455322,4.335776257222651
c=8,hopper-medium-expert-v2,8.0,-24.590666417844766,-10.854181176952935,13.736485240891831
positive_only,walker2d-medium-replay-v2,,-5.203905553191277,-9.114108570128877,-3.9102030169376008
c=0.25,walker2d-medium-replay-v2,0.25,-9.802291247047933,-8.49976650216924,1.302524744878693
c=0.5,walker2d-medium-replay-v2,0.5,-11.983339061012568,-16.062012206942384,-4.078673145929816
c=1,walker2d-medium-replay-v2,1.0,-23.872530717500798,-8.858324353385147,15.014206364115651
c=2,walker2d-medium-replay-v2,2.0,12.0573651547044,2.8114677605966207,-9.245897394107779
c=4,walker2d-medium-replay-v2,4.0,-2.7805186737654424,-13.668999289023745,-10.888480615258302
c=8,walker2d-medium-replay-v2,8.0,-13.33714313697699,6.8096974387036795,20.14684057568067
positive_only,walker2d-medium-v2,,8.365273959743632,13.278339976315877,4.913066016572245
c=0.25,walker2d-medium-v2,0.25,-15.596195500409838,-13.30518545520783,2.291010045202006
c=0.5,walker2d-medium-v2,0.5,-4.086412054434245,-11.930562286052375,-7.84415023161813
c=1,walker2d-medium-v2,1.0,0.7382668332658575,7.10825079526197,6.3699839619961125
c=2,walker2d-medium-v2,2.0,4.453376507207743,21.545178084886928,17.091801577679185
c=4,walker2d-medium-v2,4.0,2.578764107878527,11.81043082306067,9.231666715182143
c=8,walker2d-medium-v2,8.0,3.5259574175194643,5.283256493082367,1.7572990755629028
