task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
countdown,positive_only,,4000,0.136,0.07400000000000001
countdown,global,0.0,4000,0.0252,0.0076
countdown,exponential,0.105360516,4000,0.11639999999999999,0.05
countdown,exponential,0.430782916,4000,0.11040000000000001,0.04360000000000001
countdown,exponential,0.916290732,4000,0.13720000000000002,0.0708
countdown,exponential,1.897119985,4000,0.1472,0.0504
countdown,exponential,2.302585093,4000,0.1376,0.07320000000000002
countdown,exponential,2.995732274,4000,0.14440000000000003,0.07400000000000001
countdown,positive_only,,5000,0.1436,0.0664
countdown,global,0.0,5000,0.0324,0.0064
countdown,exponential,0.105360516,5000,0.10759999999999999,0.0352
countdown,exponential,0.430782916,5000,0.11439999999999999,0.0624
countdown,exponential,0.916290732,5000,0.1328,0.07320000000000002
countdown,exponential,1.897119985,5000,0.146,0.0724
countdown,exponential,2.302585093,5000,0.1552,0.08399999999999999
countdown,exponential,2.995732274,5000,0.164,0.08279999999999998
word_sorting,positive_only,,4000,0.615625,0.46959999999999996
word_sorting,positive_only,,5000,0.653125,0.46799999999999997
word_sorting,positive_only,,6000,0.5765625,0.4408
word_sorting,positive_only,,7000,0.6375,0.48360000000000003
word_sorting,exponential,0.10536051565782628,4000,0.1640625,0.10840000000000001
word_sorting,exponential,0.2876820724517809,4000,0.2421875,0.17639999999999997
word_sorting,exponential,0.5108256237659907,4000,0.3875,0.30160000000000003
word_sorting,exponential,0.6931471805599453,4000,0.415625,0.344
word_sorting,exponential,0.95,4000,0.503125,0.40679999999999994
word_sorting,exponential,1.0498221244986778,4000,0.509375,0.4244
word_sorting,exponential,1.05,4000,0.4796875,0.38959999999999995
word_sorting,exponential,1.1,4000,0.5078125,0.40679999999999994
word_sorting,exponential,1.2,4000,0.50625,0.4144
word_sorting,exponential,1.28,4000,0.5078125,0.4164
word_sorting,exponential,1.34,4000,0.4859375,0.4264
word_sorting,exponential,1.3862943611198906,4000,0.509375,0.45359999999999995
word_sorting,exponential,1.43,4000,0.515625,0.43360000000000004
word_sorting,exponential,1.5,4000,0.525,0.44079999999999997
word_sorting,exponential,1.6,4000,0.521875,0.4368
word_sorting,exponential,1.7,4000,0.5640625,0.43879999999999997
word_sorting,exponential,1.8,4000,0.528125,0.4584
word_sorting,exponential,1.95,4000,0.5109375,0.4356
word_sorting,exponential,2.0794415416798357,4000,0.5109375,0.45359999999999995
word_sorting,exponential,2.3,4000,0.5640625,0.45280000000000004
spiral_matrix,positive_only,,4000,1.0,0.9987999999999999
spiral_matrix,positive_only,,5000,1.0,1.0
spiral_matrix,positive_only,,6000,1.0,1.0
spiral_matrix,positive_only,,7000,1.0,1.0
spiral_matrix,exponential,0.051293294,4000,0.8859375,0.8332
spiral_matrix,exponential,0.10536051565782628,4000,0.9265625,0.8968
spiral_matrix,exponential,0.162518929,4000,0.909375,0.8591999999999999
spiral_matrix,exponential,0.223143551,4000,0.8546875,0.8128
spiral_matrix,exponential,0.2876820724517809,4000,0.971875,0.9471999999999999
spiral_matrix,exponential,0.430782916,4000,0.9625,0.9495999999999999
spiral_matrix,exponential,0.5108256237659907,4000,0.95625,0.9512
spiral_matrix,exponential,0.6931471805599453,4000,0.9703125,0.9603999999999999
spiral_matrix,exponential,0.916290732,4000,0.9546875,0.9436
spiral_matrix,exponential,1.0498221244986778,4000,0.9859375,0.9667999999999999
spiral_matrix,exponential,1.203972804,4000,0.8890625,0.8720000000000001
spiral_matrix,exponential,1.3862943611198906,4000,0.9796875,0.9643999999999998
spiral_matrix,exponential,1.609437912,4000,0.9203125,0.892
spiral_matrix,exponential,1.897119985,4000,0.9671875,0.9644
spiral_matrix,exponential,2.0794415416798357,4000,0.91875,0.9228
spiral_matrix,exponential,2.302585093,4000,0.9359375,0.9228
spiral_matrix,exponential,2.995732274,4000,0.9828125,0.9708
spiral_matrix,exponential,3.506557897,4000,0.971875,0.9675999999999998
spiral_matrix,exponential,4.605170186,4000,0.98125,0.966
spiral_matrix,exponential,6.907755279,4000,0.996875,0.9936
mini_sudoku,positive_only,,4000,0.9671875,0.8924000000000001
mini_sudoku,positive_only,,5000,0.9625,0.8892
mini_sudoku,positive_only,,6000,0.9546875,0.8827999999999999
mini_sudoku,positive_only,,7000,0.959375,0.8984
mini_sudoku,exponential,0.10536051565782628,4000,0.9328125,0.8508000000000001
mini_sudoku,exponential,0.2876820724517809,4000,0.915625,0.8732
mini_sudoku,exponential,0.5108256237659907,4000,0.934375,0.8712
mini_sudoku,exponential,0.6931471805599453,4000,0.9359375,0.8699999999999999
mini_sudoku,exponential,1.0498221244986778,4000,0.8984375,0.8564
mini_sudoku,exponential,1.3862943611198906,4000,0.9265625,0.8624
mini_sudoku,exponential,1.8,4000,0.94375,0.8768
mini_sudoku,exponential,2.0,4000,0.9328125,0.8712
mini_sudoku,exponential,2.0794415416798357,4000,0.9375,0.8804000000000001
mini_sudoku,exponential,2.2,4000,0.94375,0.8884000000000001
mini_sudoku,exponential,2.4,4000,0.95,0.8952
mini_sudoku,exponential,2.6,4000,0.9515625,0.8904
mini_sudoku,exponential,2.8,4000,0.940625,0.8804000000000001
mini_sudoku,exponential,3.0,4000,0.94375,0.8844
mini_sudoku,exponential,3.25,4000,0.934375,0.876
mini_sudoku,exponential,3.5,4000,0.9375,0.8912000000000001
mini_sudoku,exponential,4.0,4000,0.9421875,0.8907999999999999
mini_sudoku,exponential,4.5,4000,0.9515625,0.89
mini_sudoku,exponential,6.0,4000,0.9625,0.8855999999999999
mini_sudoku,exponential,8.0,4000,0.959375,0.8852
maze,positive_only,,4000,0.7625,0.332
maze,positive_only,,5000,0.7828125,0.33480000000000004
maze,positive_only,,6000,0.759375,0.33
maze,positive_only,,7000,0.7703125,0.32480000000000003
maze,exponential,0.1,4000,0.715625,0.31520000000000004
maze,exponential,0.10536051565782628,4000,0.746875,0.318
maze,exponential,0.14,4000,0.74375,0.32360000000000005
maze,exponential,0.18,4000,0.7546875,0.33520000000000005
maze,exponential,0.22,4000,0.73125,0.33
maze,exponential,0.25,4000,0.7578125,0.3184
maze,exponential,0.2876820724517809,4000,0.728125,0.312
maze,exponential,0.32,4000,0.7515625,0.336
maze,exponential,0.35,4000,0.7375,0.32920000000000005
maze,exponential,0.38,4000,0.7609375,0.3256
maze,exponential,0.41,4000,0.74375,0.346
maze,exponential,0.44,4000,0.734375,0.3364
