task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
countdown,positive_only,,4000,0.136,0.074,repo_coldstart_anchor
countdown,global,0.0,4000,0.0252,0.0076,repo_coldstart_anchor
countdown,exponential,0.105360516,4000,0.1163999999999999,0.05,repo_coldstart_anchor
countdown,exponential,0.430782916,4000,0.1104,0.0436,repo_coldstart_anchor
countdown,exponential,0.916290732,4000,0.1372,0.0708,repo_coldstart_anchor
countdown,exponential,1.897119985,4000,0.1472,0.0504,repo_coldstart_anchor
countdown,exponential,2.302585093,4000,0.1376,0.0732,repo_coldstart_anchor
countdown,exponential,2.995732274,4000,0.1444,0.074,repo_coldstart_anchor
countdown,positive_only,,5000,0.1436,0.0664,repo_coldstart_anchor
countdown,global,0.0,5000,0.0324,0.0064,repo_coldstart_anchor
countdown,exponential,0.105360516,5000,0.1075999999999999,0.0352,repo_coldstart_anchor
countdown,exponential,0.430782916,5000,0.1143999999999999,0.0624,repo_coldstart_anchor
countdown,exponential,0.916290732,5000,0.1328,0.0732,repo_coldstart_anchor
countdown,exponential,1.897119985,5000,0.146,0.0724,repo_coldstart_anchor
countdown,exponential,2.302585093,5000,0.1552,0.0839999999999999,repo_coldstart_anchor
countdown,exponential,2.995732274,5000,0.164,0.0827999999999999,repo_coldstart_anchor
