task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
graph_color,positive_only,,4000,0.98125,0.9572,repo_coldstart_anchor
graph_color,positive_only,,5000,0.984375,0.9648,repo_coldstart_anchor
graph_color,positive_only,,6000,0.9890625,0.9548,repo_coldstart_anchor
graph_color,positive_only,,7000,0.9921875,0.9672,repo_coldstart_anchor
graph_color,exponential,0.1,4000,0.990625,0.9724,repo_coldstart_anchor
graph_color,exponential,0.1053605156578262,4000,0.9921875,0.9712,repo_coldstart_anchor
graph_color,exponential,0.15,4000,0.9875,0.9672,repo_coldstart_anchor
graph_color,exponential,0.22,4000,1.0,0.988,repo_coldstart_anchor
graph_color,exponential,0.2876820724517809,4000,0.996875,0.9835999999999998,repo_coldstart_anchor
graph_color,exponential,0.38,4000,0.9890625,0.9852,repo_coldstart_anchor
graph_color,exponential,0.5108256237659907,4000,0.996875,0.9828,repo_coldstart_anchor
graph_color,exponential,0.55,4000,0.9953125,0.9812,repo_coldstart_anchor
graph_color,exponential,0.6931471805599453,4000,0.9890625,0.98,repo_coldstart_anchor
graph_color,exponential,0.75,4000,0.9953125,0.9852,repo_coldstart_anchor
graph_color,exponential,0.9,4000,0.9984375,0.9856,repo_coldstart_anchor
graph_color,exponential,1.0498221244986778,4000,0.9984375,0.9868,repo_coldstart_anchor
graph_color,exponential,1.2,4000,0.9984375,0.9924,repo_coldstart_anchor
graph_color,exponential,1.3862943611198906,4000,0.996875,0.9884,repo_coldstart_anchor
graph_color,exponential,1.6,4000,1.0,0.984,repo_coldstart_anchor
graph_color,exponential,1.8,4000,0.9984375,0.9968,repo_coldstart_anchor
graph_color,exponential,2.079441541679836,4000,0.9984375,0.99,repo_coldstart_anchor
graph_color,exponential,2.6,4000,1.0,0.9892,repo_coldstart_anchor
graph_color,exponential,3.5,4000,0.996875,0.9864,repo_coldstart_anchor
graph_color,exponential,6.0,4000,0.9921875,0.9756,repo_coldstart_anchor
graph_color,positive_only,,8000,0.9796875,0.968,uploaded_completion_01_attempt012
graph_color,positive_only,,9000,0.99375,0.9712,uploaded_completion_01_attempt012
graph_color,exponential,6.39896965325,4000,0.9921875,0.9784,uploaded_completion_01_attempt012
graph_color,exponential,6.824468770536,4000,0.9921875,0.9692,uploaded_completion_01_attempt012
graph_color,exponential,7.278261427036,4000,0.990625,0.9692,uploaded_completion_01_attempt012
graph_color,exponential,7.762229000004,4000,0.996875,0.976,uploaded_completion_01_attempt012
graph_color,exponential,8.278377968767,4000,0.9921875,0.9632,uploaded_completion_01_attempt012
graph_color,exponential,8.828848233379,4000,0.9890625,0.968,uploaded_completion_01_attempt012
