task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
maze,positive_only,,4000,0.7625,0.332,repo_coldstart_anchor
maze,positive_only,,5000,0.7828125,0.3348,repo_coldstart_anchor
maze,positive_only,,6000,0.759375,0.33,repo_coldstart_anchor
maze,positive_only,,7000,0.7703125,0.3248,repo_coldstart_anchor
maze,exponential,0.1,4000,0.715625,0.3152,repo_coldstart_anchor
maze,exponential,0.1053605156578262,4000,0.746875,0.318,repo_coldstart_anchor
maze,exponential,0.14,4000,0.74375,0.3236,repo_coldstart_anchor
maze,exponential,0.18,4000,0.7546875,0.3352,repo_coldstart_anchor
maze,exponential,0.22,4000,0.73125,0.33,repo_coldstart_anchor
maze,exponential,0.25,4000,0.7578125,0.3184,repo_coldstart_anchor
maze,exponential,0.2876820724517809,4000,0.728125,0.312,repo_coldstart_anchor
maze,exponential,0.32,4000,0.7515625,0.336,repo_coldstart_anchor
maze,exponential,0.35,4000,0.7375,0.3292,repo_coldstart_anchor
maze,exponential,0.38,4000,0.7609375,0.3256,repo_coldstart_anchor
maze,exponential,0.41,4000,0.74375,0.346,repo_coldstart_anchor
maze,exponential,0.44,4000,0.734375,0.3364,repo_coldstart_anchor
maze,exponential,0.5108256237659907,4000,0.7578125,0.344,repo_coldstart_anchor
maze,exponential,0.55,4000,0.7625,0.3396,repo_coldstart_anchor
maze,exponential,0.6931471805599453,4000,0.7671875,0.3388,repo_coldstart_anchor
maze,exponential,0.7,4000,0.75625,0.3356,repo_coldstart_anchor
maze,exponential,0.9,4000,0.7671875,0.3432,repo_coldstart_anchor
maze,exponential,1.0498221244986778,4000,0.7578125,0.3344,repo_coldstart_anchor
maze,exponential,1.3862943611198906,4000,0.765625,0.3304,repo_coldstart_anchor
maze,exponential,2.079441541679836,4000,0.7609375,0.3096,repo_coldstart_anchor
maze,positive_only,,8000,0.7609375,0.328,uploaded_completion_01_attempt012
maze,positive_only,,9000,0.76875,0.3192,uploaded_completion_01_attempt012
maze,exponential,2.21771388682,4000,0.7640625,0.346,uploaded_completion_01_attempt012
maze,exponential,2.365180643558,4000,0.7640625,0.3384,uploaded_completion_01_attempt012
maze,exponential,2.522453193764,4000,0.7640625,0.3356,uploaded_completion_01_attempt012
maze,exponential,2.690183573107,4000,0.7703125,0.3344,uploaded_completion_01_attempt012
maze,exponential,2.86906717433,4000,0.76875,0.336,uploaded_completion_01_attempt012
maze,exponential,3.059845630279,4000,0.76875,0.3356,uploaded_completion_01_attempt012
maze,exponential,3.263309888631,4000,0.7703125,0.338,uploaded_completion_01_attempt012
maze,exponential,3.480303491084,4000,0.76875,0.3412,uploaded_completion_01_attempt012
maze,exponential,3.711726070591,4000,0.7640625,0.3376,uploaded_completion_01_attempt012
maze,exponential,3.958537081148,4000,0.765625,0.3404,uploaded_completion_01_attempt012
maze,exponential,4.221759775589,4000,0.775,0.3408,uploaded_completion_01_attempt012
maze,exponential,4.502485447884,4000,0.771875,0.3428,uploaded_completion_01_attempt012
maze,exponential,4.801877957535,4000,0.771875,0.3376,uploaded_completion_01_attempt012
maze,exponential,5.121178554813,4000,0.775,0.3412,uploaded_completion_01_attempt012
maze,exponential,5.461711026854,4000,0.7703125,0.34,uploaded_completion_01_attempt012
maze,exponential,5.824887185944,4000,0.771875,0.3396,uploaded_completion_01_attempt012
maze,exponential,6.212212722743,4000,0.7671875,0.336,uploaded_completion_01_attempt012
maze,exponential,6.625293448728,4000,0.7734375,0.3372,uploaded_completion_01_attempt012
maze,exponential,7.065841953715,4000,0.76875,0.334,uploaded_completion_01_attempt012
maze,exponential,7.535684706081,4000,0.771875,0.3364,uploaded_completion_01_attempt012
maze,exponential,8.036769625112,4000,0.7734375,0.3392,uploaded_completion_01_attempt012
maze,exponential,8.571174156876,4000,0.778125,0.3412,uploaded_completion_01_attempt012
maze,exponential,9.141113887095,4000,0.775,0.3348,uploaded_completion_01_attempt012
maze,exponential,9.748951726738,4000,0.775,0.3332,uploaded_completion_01_attempt012
maze,exponential,10.397207708399,4000,0.7734375,0.3384,uploaded_completion_01_attempt012
maze,exponential,12.0,4000,0.7671875,0.3404,uploaded_curve_completion_02_attempt005
maze,exponential,13.416690176528,4000,0.775,0.3388,uploaded_curve_completion_02_attempt005
maze,exponential,15.000631274412,4000,0.775,0.3344,uploaded_curve_completion_02_attempt005
maze,exponential,16.771568521761,4000,0.7765625,0.3364,uploaded_curve_completion_02_attempt005
maze,exponential,18.75157821924,4000,0.7703125,0.334,uploaded_curve_completion_02_attempt005
maze,exponential,20.965342940706,4000,0.76875,0.3431999999999999,uploaded_curve_completion_02_attempt005
maze,exponential,23.440459223343,4000,0.7703125,0.3392,uploaded_curve_completion_02_attempt005
maze,exponential,26.207781582928,4000,0.76875,0.3416,uploaded_curve_completion_02_attempt005
maze,exponential,29.301807142689,4000,0.7703125,0.3364,uploaded_curve_completion_02_attempt005
maze,exponential,32.761105670486,4000,0.771875,0.3412,uploaded_curve_completion_02_attempt005
maze,exponential,36.628800385118,4000,0.7625,0.3364,uploaded_curve_completion_02_attempt005
maze,exponential,40.953105525419,4000,0.765625,0.3388,uploaded_curve_completion_02_attempt005
maze,exponential,45.787927383434,4000,0.7578125,0.3399999999999999,uploaded_curve_completion_02_attempt005
maze,exponential,51.193536294075,4000,0.7765625,0.3412,uploaded_curve_completion_02_attempt005
maze,exponential,57.237317958205,4000,0.7765625,0.3368,uploaded_curve_completion_02_attempt005
maze,exponential,63.994613465056,4000,0.7703125,0.3372,uploaded_curve_completion_02_attempt005
maze,exponential,71.549658485611,4000,0.7734375,0.3428,uploaded_curve_completion_02_attempt005
maze,exponential,79.99663334482,4000,0.7671875,0.3419999999999999,uploaded_curve_completion_02_attempt005
maze,exponential,89.440837062731,4000,0.7671875,0.3436,uploaded_curve_completion_02_attempt005
maze,exponential,100.0,4000,0.771875,0.3408,uploaded_curve_completion_02_attempt005
