task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
mini_sudoku,positive_only,,4000,0.9671875,0.8924000000000001,repo_coldstart_anchor
mini_sudoku,positive_only,,5000,0.9625,0.8892,repo_coldstart_anchor
mini_sudoku,positive_only,,6000,0.9546875,0.8827999999999999,repo_coldstart_anchor
mini_sudoku,positive_only,,7000,0.959375,0.8984,repo_coldstart_anchor
mini_sudoku,exponential,0.1053605156578262,4000,0.9328125,0.8508000000000001,repo_coldstart_anchor
mini_sudoku,exponential,0.2876820724517809,4000,0.915625,0.8732,repo_coldstart_anchor
mini_sudoku,exponential,0.5108256237659907,4000,0.934375,0.8712,repo_coldstart_anchor
mini_sudoku,exponential,0.6931471805599453,4000,0.9359375,0.8699999999999999,repo_coldstart_anchor
mini_sudoku,exponential,1.0498221244986778,4000,0.8984375,0.8564,repo_coldstart_anchor
mini_sudoku,exponential,1.3862943611198906,4000,0.9265625,0.8624,repo_coldstart_anchor
mini_sudoku,exponential,1.8,4000,0.94375,0.8768,repo_coldstart_anchor
mini_sudoku,exponential,2.0,4000,0.9328125,0.8712,repo_coldstart_anchor
mini_sudoku,exponential,2.079441541679836,4000,0.9375,0.8804000000000001,repo_coldstart_anchor
mini_sudoku,exponential,2.2,4000,0.94375,0.8884000000000001,repo_coldstart_anchor
mini_sudoku,exponential,2.4,4000,0.95,0.8952,repo_coldstart_anchor
mini_sudoku,exponential,2.6,4000,0.9515625,0.8904,repo_coldstart_anchor
mini_sudoku,exponential,2.8,4000,0.940625,0.8804000000000001,repo_coldstart_anchor
mini_sudoku,exponential,3.0,4000,0.94375,0.8844,repo_coldstart_anchor
mini_sudoku,exponential,3.25,4000,0.934375,0.876,repo_coldstart_anchor
mini_sudoku,exponential,3.5,4000,0.9375,0.8912000000000001,repo_coldstart_anchor
mini_sudoku,exponential,4.0,4000,0.9421875,0.8907999999999999,repo_coldstart_anchor
mini_sudoku,exponential,4.5,4000,0.9515625,0.89,repo_coldstart_anchor
mini_sudoku,exponential,6.0,4000,0.9625,0.8855999999999999,repo_coldstart_anchor
mini_sudoku,exponential,8.0,4000,0.959375,0.8852,repo_coldstart_anchor
mini_sudoku,positive_only,,8000,0.9546875,0.8912000000000001,uploaded_completion_01_attempt012
mini_sudoku,positive_only,,9000,0.95625,0.8916000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,8.531959537667,4000,0.9578125,0.884,uploaded_completion_01_attempt012
mini_sudoku,exponential,9.099291694048,4000,0.9609375,0.8924,uploaded_completion_01_attempt012
mini_sudoku,exponential,9.704348569381,4000,0.965625,0.8916000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,10.349638666672,4000,0.9546875,0.8859999999999999,uploaded_completion_01_attempt012
mini_sudoku,exponential,11.03783729169,4000,0.9546875,0.8907999999999999,uploaded_completion_01_attempt012
mini_sudoku,exponential,11.771797644506,4000,0.9609375,0.8859999999999999,uploaded_completion_01_attempt012
mini_sudoku,exponential,12.554562648566,4000,0.9625,0.884,uploaded_completion_01_attempt012
mini_sudoku,exponential,13.389377566334,4000,0.9640625,0.8916000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,14.279703453813,4000,0.9609375,0.8884000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,15.229231509727,4000,0.9546875,0.8888,uploaded_completion_01_attempt012
mini_sudoku,exponential,16.241898378844,4000,0.965625,0.8964000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,17.3219024729,4000,0.9671875,0.898,uploaded_completion_01_attempt012
mini_sudoku,exponential,18.473721376774,4000,0.9640625,0.8948,uploaded_completion_01_attempt012
mini_sudoku,exponential,19.702130412096,4000,0.9640625,0.8972,uploaded_completion_01_attempt012
mini_sudoku,exponential,21.01222243523,4000,0.9703125,0.898,uploaded_completion_01_attempt012
mini_sudoku,exponential,22.40942895173,4000,0.9625,0.8964000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,23.899542634798,4000,0.965625,0.8868,uploaded_completion_01_attempt012
mini_sudoku,exponential,25.488741341105,4000,0.9609375,0.8939999999999999,uploaded_completion_01_attempt012
mini_sudoku,exponential,27.183613723546,4000,0.965625,0.9024,uploaded_completion_01_attempt012
mini_sudoku,exponential,28.991186547108,4000,0.959375,0.8916000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,30.91895382111,4000,0.9765625,0.8972,uploaded_completion_01_attempt012
mini_sudoku,exponential,32.974907868588,4000,0.9578125,0.8924000000000001,uploaded_completion_01_attempt012
mini_sudoku,exponential,35.167572461636,4000,0.9609375,0.8928,uploaded_completion_01_attempt012
mini_sudoku,exponential,37.506038160081,4000,0.9640625,0.8976,uploaded_completion_01_attempt012
mini_sudoku,exponential,40.0,4000,0.9703125,0.8984,uploaded_completion_01_attempt012
mini_sudoku,exponential,45.0,4000,0.9703125,0.9072,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,48.920032072626,4000,0.965625,0.8912000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,53.181545288594,4000,0.9734375,0.8972,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,57.814286693108,4000,0.9703125,0.8960000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,62.850594650729,4000,0.96875,0.8948,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,68.32562457994,4000,0.96875,0.9056,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,74.277594351841,4000,0.965625,0.9036000000000002,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,80.74805106599,4000,0.9625,0.8924,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,87.782161065562,4000,0.9640625,0.8911999999999999,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,95.42902521626,4000,0.9734375,0.8992000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,103.742021649752,4000,0.96875,0.8864000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,112.77917836411,4000,0.9640625,0.8987999999999999,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,122.603578282148,4000,0.9703125,0.8939999999999999,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,133.283799595142,4000,0.9671875,0.9024,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,144.894394465684,4000,0.9625,0.8940000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,157.516409431221,4000,0.9734375,0.892,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,171.237951140894,4000,0.9671875,0.8884000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,186.154801374739,4000,0.9734375,0.8976000000000001,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,202.371085638346,4000,0.9671875,0.8924,uploaded_curve_completion_02_attempt005
mini_sudoku,exponential,220.0,4000,0.971875,0.8972,uploaded_curve_completion_02_attempt005
