task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
spiral_matrix,positive_only,,4000,1.0,0.9988,repo_coldstart_anchor
spiral_matrix,positive_only,,5000,1.0,1.0,repo_coldstart_anchor
spiral_matrix,positive_only,,6000,1.0,1.0,repo_coldstart_anchor
spiral_matrix,positive_only,,7000,1.0,1.0,repo_coldstart_anchor
spiral_matrix,exponential,0.051293294,4000,0.8859375,0.8332,repo_coldstart_anchor
spiral_matrix,exponential,0.1053605156578262,4000,0.9265625,0.8968,repo_coldstart_anchor
spiral_matrix,exponential,0.162518929,4000,0.909375,0.8591999999999999,repo_coldstart_anchor
spiral_matrix,exponential,0.223143551,4000,0.8546875,0.8128,repo_coldstart_anchor
spiral_matrix,exponential,0.2876820724517809,4000,0.971875,0.9472,repo_coldstart_anchor
spiral_matrix,exponential,0.430782916,4000,0.9625,0.9496,repo_coldstart_anchor
spiral_matrix,exponential,0.5108256237659907,4000,0.95625,0.9512,repo_coldstart_anchor
spiral_matrix,exponential,0.6931471805599453,4000,0.9703125,0.9604,repo_coldstart_anchor
spiral_matrix,exponential,0.916290732,4000,0.9546875,0.9436,repo_coldstart_anchor
spiral_matrix,exponential,1.0498221244986778,4000,0.9859375,0.9668,repo_coldstart_anchor
spiral_matrix,exponential,1.203972804,4000,0.8890625,0.8720000000000001,repo_coldstart_anchor
spiral_matrix,exponential,1.3862943611198906,4000,0.9796875,0.9643999999999998,repo_coldstart_anchor
spiral_matrix,exponential,1.609437912,4000,0.9203125,0.892,repo_coldstart_anchor
spiral_matrix,exponential,1.897119985,4000,0.9671875,0.9644,repo_coldstart_anchor
spiral_matrix,exponential,2.079441541679836,4000,0.91875,0.9228,repo_coldstart_anchor
spiral_matrix,exponential,2.302585093,4000,0.9359375,0.9228,repo_coldstart_anchor
spiral_matrix,exponential,2.995732274,4000,0.9828125,0.9708,repo_coldstart_anchor
spiral_matrix,exponential,3.506557897,4000,0.971875,0.9675999999999998,repo_coldstart_anchor
spiral_matrix,exponential,4.605170186,4000,0.98125,0.966,repo_coldstart_anchor
spiral_matrix,exponential,6.907755279,4000,0.996875,0.9936,repo_coldstart_anchor
spiral_matrix,positive_only,,8000,1.0,0.9988,uploaded_completion_01_attempt012
spiral_matrix,positive_only,,9000,1.0,0.9996,uploaded_completion_01_attempt012
spiral_matrix,exponential,8.447110861078,4000,1.0,0.998,uploaded_completion_01_attempt012
spiral_matrix,exponential,10.329503437427,4000,0.9984375,0.9952,uploaded_completion_01_attempt012
spiral_matrix,exponential,12.631376930953,4000,0.9953125,0.9944,uploaded_completion_01_attempt012
spiral_matrix,exponential,15.446210375777,4000,1.0,1.0,uploaded_completion_01_attempt012
spiral_matrix,exponential,18.888314098846,4000,1.0,0.9984,uploaded_completion_01_attempt012
spiral_matrix,exponential,23.097471859905,4000,1.0,1.0,uploaded_completion_01_attempt012
spiral_matrix,exponential,28.244617467034,4000,0.996875,0.994,uploaded_completion_01_attempt012
spiral_matrix,exponential,34.538776395,4000,1.0,0.9996,uploaded_completion_01_attempt012
