task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
wikisql,positive_only,,4000,0.865625,0.784,repo_coldstart_anchor
wikisql,positive_only,,5000,0.84375,0.7696,repo_coldstart_anchor
wikisql,positive_only,,6000,0.8625,0.7712000000000001,repo_coldstart_anchor
wikisql,positive_only,,7000,0.8546875,0.7824,repo_coldstart_anchor
wikisql,exponential,0.1053605156578262,4000,0.3953125,0.2264,repo_coldstart_anchor
wikisql,exponential,0.2876820724517809,4000,0.6046875,0.524,repo_coldstart_anchor
wikisql,exponential,0.5108256237659907,4000,0.7703125,0.696,repo_coldstart_anchor
wikisql,exponential,0.6931471805599453,4000,0.75625,0.7016,repo_coldstart_anchor
wikisql,exponential,1.0498221244986778,4000,0.76875,0.7068,repo_coldstart_anchor
wikisql,exponential,1.3862943611198906,4000,0.7921875,0.7396,repo_coldstart_anchor
wikisql,exponential,1.4,4000,0.8,0.7243999999999999,repo_coldstart_anchor
wikisql,exponential,1.55,4000,0.7859375,0.7303999999999999,repo_coldstart_anchor
wikisql,exponential,1.7,4000,0.765625,0.7343999999999999,repo_coldstart_anchor
wikisql,exponential,1.85,4000,0.778125,0.7351999999999999,repo_coldstart_anchor
wikisql,exponential,2.0,4000,0.7859375,0.7404,repo_coldstart_anchor
wikisql,exponential,2.079441541679836,4000,0.7890625,0.7388,repo_coldstart_anchor
wikisql,exponential,2.2,4000,0.7921875,0.7452,repo_coldstart_anchor
wikisql,exponential,2.35,4000,0.7796875,0.7472,repo_coldstart_anchor
wikisql,exponential,2.5,4000,0.784375,0.7375999999999999,repo_coldstart_anchor
wikisql,exponential,2.9,4000,0.7765625,0.7452,repo_coldstart_anchor
wikisql,exponential,3.4,4000,0.8015625,0.746,repo_coldstart_anchor
wikisql,exponential,3.8,4000,0.8171875,0.7636000000000001,repo_coldstart_anchor
wikisql,exponential,4.4,4000,0.8125,0.7652,repo_coldstart_anchor
wikisql,exponential,5.2,4000,0.809375,0.7552,repo_coldstart_anchor
wikisql,positive_only,,8000,0.865625,0.782,uploaded_completion_01_attempt012
wikisql,positive_only,,9000,0.846875,0.7764,uploaded_completion_01_attempt012
wikisql,exponential,5.545773699484,4000,0.809375,0.7496,uploaded_completion_01_attempt012
wikisql,exponential,5.914539601131,4000,0.8046875,0.7512000000000001,uploaded_completion_01_attempt012
wikisql,exponential,6.307826570098,4000,0.8265625,0.762,uploaded_completion_01_attempt012
wikisql,exponential,6.727265133337,4000,0.85,0.7656000000000001,uploaded_completion_01_attempt012
wikisql,exponential,7.174594239598,4000,0.81875,0.7688,uploaded_completion_01_attempt012
wikisql,exponential,7.651668468929,4000,0.840625,0.7668000000000001,uploaded_completion_01_attempt012
wikisql,exponential,8.160465721568,4000,0.8140625,0.772,uploaded_completion_01_attempt012
wikisql,exponential,8.703095418117,4000,0.8234375,0.7612,uploaded_completion_01_attempt012
wikisql,exponential,9.281807244979,4000,0.840625,0.7816000000000001,uploaded_completion_01_attempt012
wikisql,exponential,9.899000481323,4000,0.84375,0.772,uploaded_completion_01_attempt012
wikisql,exponential,10.557233946249,4000,0.853125,0.7652,uploaded_completion_01_attempt012
wikisql,exponential,11.259236607385,4000,0.821875,0.7699999999999999,uploaded_completion_01_attempt012
wikisql,exponential,12.007918894903,4000,0.8484375,0.7776,uploaded_completion_01_attempt012
wikisql,exponential,12.806384767862,4000,0.8359375,0.7687999999999999,uploaded_completion_01_attempt012
wikisql,exponential,13.6579445829,4000,0.8515625,0.7812000000000001,uploaded_completion_01_attempt012
wikisql,exponential,14.566128818625,4000,0.85625,0.7788,uploaded_completion_01_attempt012
wikisql,exponential,15.534702712619,4000,0.828125,0.7692,uploaded_completion_01_attempt012
wikisql,exponential,16.567681871718,4000,0.840625,0.7756,uploaded_completion_01_attempt012
wikisql,exponential,17.669348920305,4000,0.853125,0.7796000000000001,uploaded_completion_01_attempt012
wikisql,exponential,18.84427125562,4000,0.8515625,0.7767999999999999,uploaded_completion_01_attempt012
wikisql,exponential,20.097319983721,4000,0.859375,0.7767999999999999,uploaded_completion_01_attempt012
wikisql,exponential,21.433690114582,4000,0.8484375,0.7684000000000001,uploaded_completion_01_attempt012
wikisql,exponential,22.858922100063,4000,0.85625,0.7784,uploaded_completion_01_attempt012
wikisql,exponential,24.378924804052,4000,0.8609375,0.7779999999999999,uploaded_completion_01_attempt012
wikisql,exponential,26.0,4000,0.853125,0.784,uploaded_completion_01_attempt012
wikisql,exponential,30.0,4000,0.853125,0.7760000000000001,uploaded_curve_completion_02_attempt005
wikisql,exponential,33.469737532846,4000,0.853125,0.7756000000000001,uploaded_curve_completion_02_attempt005
wikisql,exponential,37.340777683921,4000,0.846875,0.7651999999999999,uploaded_curve_completion_02_attempt005
wikisql,exponential,41.65953427844,4000,0.8515625,0.774,uploaded_curve_completion_02_attempt005
wikisql,exponential,46.477789268,4000,0.8625,0.7744000000000001,uploaded_curve_completion_02_attempt005
