task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
word_ladder,positive_only,,4000,0.1046875,0.0467999999999999,repo_coldstart_anchor
word_ladder,positive_only,,5000,0.0953125,0.0532,repo_coldstart_anchor
word_ladder,positive_only,,6000,0.09375,0.044,repo_coldstart_anchor
word_ladder,positive_only,,7000,0.1265625,0.054,repo_coldstart_anchor
word_ladder,exponential,0.1053605156578262,4000,0.0203125,0.0144,repo_coldstart_anchor
word_ladder,exponential,0.2876820724517809,4000,0.0375,0.0248,repo_coldstart_anchor
word_ladder,exponential,0.5108256237659907,4000,0.05625,0.0236,repo_coldstart_anchor
word_ladder,exponential,0.6931471805599453,4000,0.078125,0.0243999999999999,repo_coldstart_anchor
word_ladder,exponential,0.95,4000,0.0875,0.0215999999999999,repo_coldstart_anchor
word_ladder,exponential,1.0498221244986778,4000,0.10625,0.0348,repo_coldstart_anchor
word_ladder,exponential,1.05,4000,0.09375,0.0248,repo_coldstart_anchor
word_ladder,exponential,1.12,4000,0.08125,0.0288,repo_coldstart_anchor
word_ladder,exponential,1.24,4000,0.1015625,0.034,repo_coldstart_anchor
word_ladder,exponential,1.3,4000,0.084375,0.0392,repo_coldstart_anchor
word_ladder,exponential,1.34,4000,0.0984375,0.0356,repo_coldstart_anchor
word_ladder,exponential,1.3862943611198906,4000,0.096875,0.0392,repo_coldstart_anchor
word_ladder,exponential,1.43,4000,0.0890625,0.0368,repo_coldstart_anchor
word_ladder,exponential,1.48,4000,0.0953125,0.0388,repo_coldstart_anchor
word_ladder,exponential,1.54,4000,0.0984375,0.0348,repo_coldstart_anchor
word_ladder,exponential,1.6,4000,0.0984375,0.04,repo_coldstart_anchor
word_ladder,exponential,1.78,4000,0.096875,0.0452,repo_coldstart_anchor
word_ladder,exponential,1.9,4000,0.103125,0.0408,repo_coldstart_anchor
word_ladder,exponential,2.079441541679836,4000,0.1109375,0.0396,repo_coldstart_anchor
word_ladder,exponential,2.3,4000,0.1,0.0436,repo_coldstart_anchor
word_ladder,positive_only,,8000,0.1046875,0.054,uploaded_completion_01_attempt012
word_ladder,positive_only,,9000,0.115625,0.046,uploaded_completion_01_attempt012
word_ladder,exponential,2.452938367079,4000,0.1,0.046,uploaded_completion_01_attempt012
word_ladder,exponential,2.616046362039,4000,0.115625,0.0452,uploaded_completion_01_attempt012
word_ladder,exponential,2.790000213697,4000,0.115625,0.0443999999999999,uploaded_completion_01_attempt012
word_ladder,exponential,2.975521116668,4000,0.1109375,0.0472,uploaded_completion_01_attempt012
word_ladder,exponential,3.173378221361,4000,0.115625,0.0455999999999999,uploaded_completion_01_attempt012
word_ladder,exponential,3.384391822795,4000,0.1171875,0.0447999999999999,uploaded_completion_01_attempt012
word_ladder,exponential,3.609436761463,4000,0.1125,0.0476,uploaded_completion_01_attempt012
word_ladder,exponential,3.849446050321,4000,0.1140625,0.0467999999999999,uploaded_completion_01_attempt012
word_ladder,exponential,4.105414742971,4000,0.121875,0.0475999999999999,uploaded_completion_01_attempt012
