task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean,source
word_sorting,positive_only,,4000,0.615625,0.4695999999999999,repo_coldstart_anchor
word_sorting,positive_only,,5000,0.653125,0.4679999999999999,repo_coldstart_anchor
word_sorting,positive_only,,6000,0.5765625,0.4408,repo_coldstart_anchor
word_sorting,positive_only,,7000,0.6375,0.4836,repo_coldstart_anchor
word_sorting,exponential,0.1053605156578262,4000,0.1640625,0.1084,repo_coldstart_anchor
word_sorting,exponential,0.2876820724517809,4000,0.2421875,0.1763999999999999,repo_coldstart_anchor
word_sorting,exponential,0.5108256237659907,4000,0.3875,0.3016,repo_coldstart_anchor
word_sorting,exponential,0.6931471805599453,4000,0.415625,0.344,repo_coldstart_anchor
word_sorting,exponential,0.95,4000,0.503125,0.4067999999999999,repo_coldstart_anchor
word_sorting,exponential,1.0498221244986778,4000,0.509375,0.4244,repo_coldstart_anchor
word_sorting,exponential,1.05,4000,0.4796875,0.3895999999999999,repo_coldstart_anchor
word_sorting,exponential,1.1,4000,0.5078125,0.4067999999999999,repo_coldstart_anchor
word_sorting,exponential,1.2,4000,0.50625,0.4144,repo_coldstart_anchor
word_sorting,exponential,1.28,4000,0.5078125,0.4164,repo_coldstart_anchor
word_sorting,exponential,1.34,4000,0.4859375,0.4264,repo_coldstart_anchor
word_sorting,exponential,1.3862943611198906,4000,0.509375,0.4535999999999999,repo_coldstart_anchor
word_sorting,exponential,1.43,4000,0.515625,0.4336,repo_coldstart_anchor
word_sorting,exponential,1.5,4000,0.525,0.4407999999999999,repo_coldstart_anchor
word_sorting,exponential,1.6,4000,0.521875,0.4368,repo_coldstart_anchor
word_sorting,exponential,1.7,4000,0.5640625,0.4387999999999999,repo_coldstart_anchor
word_sorting,exponential,1.8,4000,0.528125,0.4584,repo_coldstart_anchor
word_sorting,exponential,1.95,4000,0.5109375,0.4356,repo_coldstart_anchor
word_sorting,exponential,2.079441541679836,4000,0.5109375,0.4535999999999999,repo_coldstart_anchor
word_sorting,exponential,2.3,4000,0.5640625,0.4528,repo_coldstart_anchor
word_sorting,positive_only,,8000,0.65625,0.4744,uploaded_completion_01_attempt012
word_sorting,positive_only,,9000,0.584375,0.454,uploaded_completion_01_attempt012
word_sorting,exponential,2.452938367079,4000,0.540625,0.4336,uploaded_completion_01_attempt012
word_sorting,exponential,2.616046362039,4000,0.5578125,0.4548,uploaded_completion_01_attempt012
word_sorting,exponential,2.790000213697,4000,0.553125,0.4608,uploaded_completion_01_attempt012
