task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
word_sorting,reciprocal_linear,1.0,4000,0.1734375,0.092
word_sorting,reciprocal_linear,3.0,4000,0.2453125,0.1723999999999999
word_sorting,reciprocal_linear,7.0,4000,0.3609375,0.2704
word_sorting,reciprocal_linear,19.0,4000,0.228125,0.1495999999999999
word_sorting,reciprocal_quadratic,1.0,4000,0.1828125,0.1312
word_sorting,reciprocal_quadratic,9.0,4000,0.209375,0.1432
word_sorting,reciprocal_quadratic,49.0,4000,0.5828125,0.4608
word_sorting,reciprocal_quadratic,361.0,4000,0.6203125,0.4615999999999999
spiral_matrix,reciprocal_linear,1.0,4000,0.7109375,0.6176
spiral_matrix,reciprocal_linear,3.0,4000,0.88125,0.8568
spiral_matrix,reciprocal_linear,7.0,4000,0.8375,0.8416
spiral_matrix,reciprocal_linear,19.0,4000,0.9703125,0.9644
spiral_matrix,reciprocal_quadratic,1.0,4000,0.8265625,0.7452
spiral_matrix,reciprocal_quadratic,9.0,4000,0.9484375,0.9352
spiral_matrix,reciprocal_quadratic,49.0,4000,0.946875,0.9252
spiral_matrix,reciprocal_quadratic,361.0,4000,0.996875,0.9936
mini_sudoku,reciprocal_linear,1.0,4000,0.846875,0.8051999999999999
mini_sudoku,reciprocal_linear,3.0,4000,0.8484375,0.8024000000000001
mini_sudoku,reciprocal_linear,7.0,4000,0.8796875,0.8135999999999999
mini_sudoku,reciprocal_linear,19.0,4000,0.896875,0.8268000000000001
mini_sudoku,reciprocal_quadratic,1.0,4000,0.9078125,0.8488
mini_sudoku,reciprocal_quadratic,9.0,4000,0.8640625,0.8151999999999999
mini_sudoku,reciprocal_quadratic,49.0,4000,0.925,0.8828000000000001
mini_sudoku,reciprocal_quadratic,361.0,4000,0.959375,0.8788
maze,reciprocal_linear,1.0,4000,0.721875,0.328
maze,reciprocal_linear,3.0,4000,0.7484375,0.3324
maze,reciprocal_linear,7.0,4000,0.7828125,0.3428
maze,reciprocal_linear,19.0,4000,0.7765625,0.3424
maze,reciprocal_quadratic,1.0,4000,0.7578125,0.3495999999999999
maze,reciprocal_quadratic,9.0,4000,0.7609375,0.3412
maze,reciprocal_quadratic,49.0,4000,0.759375,0.34
maze,reciprocal_quadratic,361.0,4000,0.7796875,0.338
word_ladder,reciprocal_linear,1.0,4000,0.01875,0.0203999999999999
word_ladder,reciprocal_linear,3.0,4000,0.05625,0.0227999999999999
word_ladder,reciprocal_linear,7.0,4000,0.05625,0.0192
word_ladder,reciprocal_linear,19.0,4000,0.115625,0.0336
word_ladder,reciprocal_quadratic,1.0,4000,0.0484375,0.0172
word_ladder,reciprocal_quadratic,9.0,4000,0.0984375,0.0227999999999999
word_ladder,reciprocal_quadratic,49.0,4000,0.115625,0.0392
word_ladder,reciprocal_quadratic,361.0,4000,0.1234375,0.0407999999999999
knights_knaves,reciprocal_linear,1.0,4000,0.571875,0.224
knights_knaves,reciprocal_linear,3.0,4000,0.6265625,0.2924
knights_knaves,reciprocal_linear,7.0,4000,0.65625,0.302
knights_knaves,reciprocal_linear,19.0,4000,0.6765625,0.3296
knights_knaves,reciprocal_quadratic,1.0,4000,0.5875,0.2744
knights_knaves,reciprocal_quadratic,9.0,4000,0.6609375,0.3304
knights_knaves,reciprocal_quadratic,49.0,4000,0.6984375,0.3384
knights_knaves,reciprocal_quadratic,361.0,4000,0.684375,0.3444
graph_color,reciprocal_linear,1.0,4000,0.990625,0.9448
graph_color,reciprocal_linear,3.0,4000,1.0,0.9888
graph_color,reciprocal_linear,7.0,4000,0.9796875,0.9803999999999998
graph_color,reciprocal_linear,19.0,4000,0.996875,0.9696
graph_color,reciprocal_quadratic,1.0,4000,0.990625,0.9724
graph_color,reciprocal_quadratic,9.0,4000,1.0,0.9748
graph_color,reciprocal_quadratic,49.0,4000,0.9828125,0.9696
graph_color,reciprocal_quadratic,361.0,4000,0.9859375,0.9511999999999998
wikisql,reciprocal_linear,1.0,4000,0.6703125,0.5892
wikisql,reciprocal_linear,3.0,4000,0.7375,0.666
wikisql,reciprocal_linear,7.0,4000,0.7640625,0.6676000000000001
wikisql,reciprocal_linear,19.0,4000,0.76875,0.6968
wikisql,reciprocal_quadratic,1.0,4000,0.728125,0.6532
wikisql,reciprocal_quadratic,9.0,4000,0.784375,0.724
wikisql,reciprocal_quadratic,49.0,4000,0.7859375,0.7556
wikisql,reciprocal_quadratic,361.0,4000,0.8421875,0.7752000000000001
word_sorting,reciprocal_linear,1.0,5000,0.1625,0.0911999999999999
word_sorting,reciprocal_linear,3.0,5000,0.21875,0.1299999999999999
word_sorting,reciprocal_linear,7.0,5000,0.334375,0.2444
word_sorting,reciprocal_linear,19.0,5000,0.534375,0.41
word_sorting,reciprocal_quadratic,1.0,5000,0.2125,0.18
word_sorting,reciprocal_quadratic,9.0,5000,0.5265625,0.4012
word_sorting,reciprocal_quadratic,49.0,5000,0.5828125,0.4564
word_sorting,reciprocal_quadratic,361.0,5000,0.61875,0.4624
spiral_matrix,reciprocal_linear,1.0,5000,0.7234375,0.6256
spiral_matrix,reciprocal_linear,3.0,5000,0.875,0.844
spiral_matrix,reciprocal_linear,7.0,5000,0.8984375,0.8800000000000001
spiral_matrix,reciprocal_linear,19.0,5000,0.88125,0.8656
spiral_matrix,reciprocal_quadratic,1.0,5000,0.8453125,0.8032
spiral_matrix,reciprocal_quadratic,9.0,5000,0.9109375,0.8776000000000002
spiral_matrix,reciprocal_quadratic,49.0,5000,0.984375,0.9676
spiral_matrix,reciprocal_quadratic,361.0,5000,0.996875,0.9948
mini_sudoku,reciprocal_linear,1.0,5000,0.834375,0.7659999999999999
mini_sudoku,reciprocal_linear,3.0,5000,0.8703125,0.8236000000000001
mini_sudoku,reciprocal_linear,7.0,5000,0.8921875,0.8356
