coverage_mode,method,local_alpha,far_lambda,n,task_performance_collapse_count,support_or_temperature_boundary_count,nan_inf_numerical_failure_count,terminal_plateau_count,persistent_drift_or_inconclusive_count,final_expected_reward_mean,final_expected_reward_std,final_covered_expected_reward_mean,final_covered_expected_reward_std,final_gap_expected_reward_mean,final_gap_expected_reward_std,final_gap_correct_group_probability_mean,final_gap_correct_group_probability_std,final_gap_proxy_group_probability_mean,final_gap_proxy_group_probability_std,final_gap_trap_group_probability_mean,final_gap_trap_group_probability_std,final_gap_top1_group_accuracy_mean,final_gap_top1_group_accuracy_std,final_entropy_mean_mean,final_entropy_mean_std,final_effective_support_p05_mean,final_effective_support_p05_std,final_paired_group_distribution_l1_mean,final_paired_group_distribution_l1_std
optimal_group_covered,positive_only,0.0,0.0,20,0,0,0,0,20,0.7313714534044266,0.00870393834357029,0.7314501792192459,0.008744064493922569,0.7312927275896073,0.008690466087155282,0.6504485338926316,0.00847273506179629,0.15782464072108265,0.008393957321965054,0.1650589294731617,0.008782129317193547,0.9428466796875,0.01045705911136032,3.9185694098472594,0.005029817751591344,48.34741764068603,0.011223089309686579,0.030729242414236024,0.007400889617384308
optimal_group_covered,local_only,0.5,0.0,20,0,0,0,20,0,0.385089148581028,0.01476851496506588,0.3848524495959282,0.01459225573692965,0.38532585054636004,0.015035563096811925,0.4026859298348427,0.015587087374252673,0.014065378019586156,0.0017960200842770508,0.5507130771875381,0.013936388985395742,0.2428466796875,0.053144266337470825,4.171180319786072,0.006699106016409554,56.642543411254884,0.41440092020807756,0.04909253064543004,0.008941086763426611
optimal_group_covered,local_only,1.5,0.0,20,20,0,0,3,17,0.04605002831667655,0.005327811872980273,0.045988739281892725,0.005317341618540133,0.04611131940037007,0.005370817480508045,0.04857111312448973,0.005658588656003641,0.00247552884684405,0.0009282997037759211,0.6845514923334122,0.01342306869874296,0.011083984375,0.003565121940678088,4.135850119590759,0.004963078135510904,57.69543647766113,0.07634030127338705,0.046282554045319516,0.008713395083925197
structured_gap,positive_only,0.0,0.0,20,0,0,0,19,1,0.6501733601093292,0.004754085666947941,0.7202140182256699,0.00842847059572115,0.5801327347755432,0.006695472589646501,0.19738283753395075,0.010973962343054946,0.6146367341279984,0.012577804005713445,0.015611965768039185,0.002449085501594175,0.0575439453125,0.01260699731657094,3.9370466828346253,0.008067530794239842,48.385009956359866,0.01778226457661702,1.1739485263824463,0.04485056514840924
structured_gap,local_only,0.5,0.0,20,0,0,0,0,20,0.5991894781589509,0.009319468444570328,0.4344045102596283,0.021481341476744183,0.7639744341373443,0.0078078350805480465,0.6096234321594238,0.011665044419657166,0.30836917757987975,0.019750131088397883,0.05776645224541421,0.010568881032650667,0.7809814453125,0.024340452996852384,4.121014499664307,0.00902983693285968,53.73364086151123,0.6298514754095756,1.0559863179922104,0.04692091895461299
structured_gap,local_only,1.5,0.0,20,20,0,0,1,19,0.0639575375244021,0.007285405393652111,0.05239629633724685,0.006312453163972139,0.07551877722144124,0.008410124793954962,0.08010432347655294,0.00873713783751808,0.0033149252005386654,0.0012760953858183019,0.7325085878372193,0.014424020182553446,0.0190673828125,0.005774274174379475,4.112222409248352,0.0042260011824440495,57.40987415313721,0.07847050448631501,0.15631634369492525,0.018403781262571202
structured_gap,uncontrolled,0.5,4.0,20,20,0,0,1,19,0.16559371948242185,0.012853508724120473,0.1530382059514522,0.012407528536914047,0.17814922630786892,0.013368126277618205,0.19085456430912012,0.014045374113580754,0.006083301687613075,0.001279219810625993,0.7266717404127121,0.014919145792995291,0.0572021484375,0.016887244268213336,4.088504528999328,0.007214930908404116,56.51034774780273,0.18468514234270467,0.0781631592661142,0.008971278000137303
structured_gap,near_zero,0.5,4.0,20,16,0,0,5,15,0.22965386137366295,0.014716205855572321,0.20856115072965617,0.014792355425945071,0.2507465809583664,0.014806764263288122,0.2681140325963497,0.01536302009623118,0.008921001851558644,0.001728181999948766,0.6713830053806304,0.014761674399579953,0.0927978515625,0.02370276069738353,4.119893717765808,0.0057279802311371655,56.882039070129395,0.1725899346214035,0.11321853995323176,0.007668449168147658
structured_gap,far_cap,0.5,4.0,20,1,0,0,0,20,0.25260225832462313,0.017726079250724436,0.20467512235045432,0.016373624807866517,0.3005293861031532,0.019649560643249967,0.32044954150915145,0.019993505172372805,0.010650761867873325,0.0022455824422649173,0.6287858068943024,0.020609291972000225,0.131103515625,0.03805979295947901,4.136174869537354,0.006916336725390618,57.38827381134033,0.12473465377021825,0.23363494426012038,0.01646069039732001
structured_gap,budget_matched_global,0.5,4.0,20,0,0,0,0,20,0.2667169526219368,0.01953686626650691,0.22370757758617396,0.018152399215616517,0.3097263291478157,0.02135046254633307,0.3306166797876358,0.021933090473827906,0.010819188226014336,0.0022424984484774053,0.6194768428802491,0.021630675538313417,0.137548828125,0.040283972530531,4.141935086250305,0.006151933551327512,57.355584907531735,0.13677032227358438,0.2096030138432979,0.014617155910886881
