step,alpha,n,overall_reward_mean,overall_reward_std,paired_difference_vs_positive_only_mean,paired_wins_vs_positive_only,paired_losses_vs_positive_only
4000,0.0,20,0.755118590593338,0.008416893807019304,0.0,0,0
4000,0.25,20,0.7944407045841217,0.0072633029756799675,0.03932211399078369,20,0
4000,0.5,20,0.8271516770124435,0.0052837542101823514,0.07203308641910552,20,0
4000,0.75,20,0.8254932194948197,0.006510565769978782,0.07037462890148163,20,0
4000,1.0,20,0.7590612739324569,0.007126541189881457,0.0039426833391189575,10,10
8000,0.0,20,0.7497380077838898,0.007321873136826406,0.0,0,0
8000,0.25,20,0.7869091928005219,0.007848518545228288,0.03717118501663208,20,0
8000,0.5,20,0.811719897389412,0.007127979637578703,0.06198188960552216,20,0
8000,0.75,20,0.7984096050262451,0.007654753857276545,0.04867159724235535,20,0
8000,1.0,20,0.7359968602657319,0.006154556784296798,-0.01374114751815796,0,20
16000,0.0,20,0.7463195085525512,0.007009587508398752,0.0,0,0
16000,0.25,20,0.7777924627065659,0.007179412668972616,0.03147295415401459,20,0
16000,0.5,20,0.7900325864553451,0.005391911119351043,0.043713077902793884,20,0
16000,0.75,20,0.7676091492176056,0.007804916645247905,0.021289640665054323,20,0
16000,1.0,20,0.7071522742509841,0.005464502135420126,-0.03916723430156708,0,20
24000,0.0,20,0.7430283397436142,0.006645492079311184,0.0,0,0
24000,0.25,20,0.7705904632806778,0.006892723093585673,0.0275621235370636,20,0
24000,0.5,20,0.7764193832874298,0.00558859990017979,0.03339104354381561,20,0
24000,0.75,20,0.7520342469215393,0.00883607222362405,0.00900590717792511,16,4
24000,1.0,20,0.689801636338234,0.00599801305941085,-0.05322670340538025,0,20
32000,0.0,20,0.741308581829071,0.005927126080174987,0.0,0,0
32000,0.25,20,0.7662686556577682,0.00698466242819795,0.024960073828697204,20,0
32000,0.5,20,0.765975046157837,0.005872174592689896,0.024666464328765868,20,0
32000,0.75,20,0.7393304020166397,0.008430331648160462,-0.0019781798124313354,9,11
32000,1.0,20,0.6802235990762711,0.00818192312888965,-0.061084982752799985,0,20
