protocol,embedding_mode,concentration_mode,method,alpha,far_lambda,n,reward_mean,hidden_optimal_probability_mean,normalized_extrapolation_mean,effective_support_p05_mean,concentration_mean,task_performance_collapse_count,support_or_temperature_boundary_count,nan_inf_numerical_failure_count,terminal_plateau_count,terminal_drift_or_inconclusive_count
E6-A,aligned,fixed,local_only,0.25,0.0,20,0.8729863047599793,0.17303196787834163,0.34531319886446,6.823146414756775,8.0,0,0,0,18,2
E6-A,aligned,fixed,local_only,0.5,0.0,20,0.8674359440803527,0.1737895660102367,0.9438324481248855,6.818401980400085,8.0,0,0,0,20,0
E6-A,aligned,fixed,local_only,0.75,0.0,20,0.8204200863838196,0.11216930821537967,1.4848086297512055,6.804268169403076,8.0,0,0,0,20,0
E6-A,aligned,fixed,positive_only,0.0,0.0,20,0.851448580622673,0.1310653150081634,-0.19711478799581522,6.889068460464477,8.0,0,0,0,18,2
E6-B,aligned,learnable,budget_matched_global,0.1,0.05,20,0.9078364402055741,0.24370263740420336,0.04797755748732014,1.0,485.58280792236326,0,20,0,0,0
E6-B,aligned,learnable,far_cap,0.1,0.05,20,0.9077602803707123,0.2421521514654159,0.047495124395936714,1.0,485.44773254394534,0,20,0,0,0
E6-B,aligned,learnable,far_zero,0.1,0.05,20,0.8853179901838303,0.18214106559753412,0.040795752056874315,3.215452492237091,17.67772831916809,0,0,0,5,15
E6-B,aligned,learnable,near_zero,0.1,0.05,20,0.8923464566469193,0.18323273360729214,-0.12587247649207706,1.0,383.37571105957034,0,20,0,0,0
E6-B,aligned,learnable,positive_only,0.0,0.0,20,0.864391878247261,0.14076163843274112,-0.18932270333170886,5.154094099998474,11.24466700553894,0,0,0,18,2
E6-B,aligned,learnable,uncontrolled,0.1,0.05,20,0.907621830701828,0.24244904369115824,0.04813914427068085,1.0,485.5590759277344,0,20,0,0,0
E6-C,aligned,learnable,far_cap,0.1,0.05,20,0.9077602803707123,0.2421521514654159,0.047495124395936714,1.0,485.44773254394534,0,20,0,0,0
E6-C,aligned,learnable,far_zero,0.1,0.05,20,0.8853179901838303,0.18214106559753412,0.040795752056874315,3.215452492237091,17.67772831916809,0,0,0,5,15
E6-C,aligned,learnable,positive_only,0.1,0.05,20,0.864391878247261,0.14076163843274112,-0.18932270333170886,5.154094099998474,11.24466700553894,0,0,0,18,2
E6-C,aligned,learnable,uncontrolled,0.1,0.05,20,0.907621830701828,0.24244904369115824,0.04813914427068085,1.0,485.5590759277344,0,20,0,0,0
E6-C,shuffled,learnable,far_cap,0.1,0.05,20,0.5351029723882675,0.022711584065109442,0.04367895266041161,19.922478580474852,2.5725263476371767,0,0,0,20,0
E6-C,shuffled,learnable,far_zero,0.1,0.05,20,0.5311979562044143,0.02228184537962074,0.051313092652708295,23.461808967590333,2.2919069170951842,0,0,0,20,0
E6-C,shuffled,learnable,positive_only,0.1,0.05,20,0.5281469285488128,0.02139788735657925,0.041722089564427724,28.963488578796387,1.9538205802440642,0,0,0,20,0
E6-C,shuffled,learnable,uncontrolled,0.1,0.05,20,0.535102242231369,0.02271144706755871,0.04364563850685954,19.92276225090027,2.572476696968079,0,0,0,20,0
