task,lambda,mean_pass8_pct,std_pass8_pct,positive_only_pct,point_count,source
countdown,0.01,10.22,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.025,10.16,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.04,12.06,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.051293294,11.18,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.105360516,11.92,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.162518929,11.74,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.223143551,12.22,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.287682072,11.22,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.430782916,11.82,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.693147181,12.62,,13.98,,countdown_paper_aligned_22_point_curve
countdown,0.916290732,13.58,,13.98,,countdown_paper_aligned_22_point_curve
countdown,1.203972804,14.36,,13.98,,countdown_paper_aligned_22_point_curve
countdown,1.386294361,14.88,,13.98,,countdown_paper_aligned_22_point_curve
countdown,1.609437912,15.34,,13.98,,countdown_paper_aligned_22_point_curve
countdown,1.897119985,15.72,,13.98,,countdown_paper_aligned_22_point_curve
countdown,2.302585093,14.84,,13.98,,countdown_paper_aligned_22_point_curve
countdown,2.995732274,15.68,,13.98,,countdown_paper_aligned_22_point_curve
countdown,3.506557897,14.76,,13.98,,countdown_paper_aligned_22_point_curve
countdown,4.605170186,14.88,,13.98,,countdown_paper_aligned_22_point_curve
countdown,5.298317367,14.52,,13.98,,countdown_paper_aligned_22_point_curve
countdown,6.907755279,13.9,,13.98,,countdown_paper_aligned_22_point_curve
countdown,9.210340372,14.28,,13.98,,countdown_paper_aligned_22_point_curve
