task,lambda,mean_pass8_pct,std_pass8_pct,positive_only_pct,point_count,source
wikisql,0.105360515658,39.53125,,85.6510416667,1,joint_historical
wikisql,0.287682072452,60.46875,,85.6510416667,1,joint_historical
wikisql,0.510825623766,77.03125,,85.6510416667,1,joint_historical
wikisql,0.69314718056,75.625,,85.6510416667,1,joint_historical
wikisql,1.0498221245,76.875,,85.6510416667,1,joint_historical
wikisql,1.38629436112,79.21875,,85.6510416667,1,joint_historical
wikisql,1.4,80,,85.6510416667,1,joint_historical
wikisql,1.55,78.59375,,85.6510416667,1,joint_historical
wikisql,1.7,76.5625,,85.6510416667,1,joint_historical
wikisql,1.85,77.8125,,85.6510416667,1,joint_historical
wikisql,2,78.59375,,85.6510416667,1,joint_historical
wikisql,2.07944154168,78.90625,,85.6510416667,1,joint_historical
wikisql,2.2,79.21875,,85.6510416667,1,joint_historical
wikisql,2.35,77.96875,,85.6510416667,1,joint_historical
wikisql,2.5,78.4375,,85.6510416667,1,joint_historical
wikisql,2.9,77.65625,,85.6510416667,1,joint_historical
wikisql,3.4,80.15625,,85.6510416667,1,joint_historical
wikisql,3.8,81.71875,,85.6510416667,1,joint_historical
wikisql,4.4,81.25,,85.6510416667,1,joint_historical
wikisql,5.2,80.9375,,85.6510416667,1,joint_historical
wikisql,5.54577369948,80.9375,,85.6510416667,1,joint_historical
wikisql,5.91453960113,80.46875,,85.6510416667,1,joint_historical
wikisql,6.3078265701,82.65625,,85.6510416667,1,joint_historical
wikisql,6.72726513334,85,,85.6510416667,1,joint_historical
wikisql,7.1745942396,81.875,,85.6510416667,1,joint_historical
wikisql,7.65166846893,84.0625,,85.6510416667,1,joint_historical
wikisql,8.16046572157,81.40625,,85.6510416667,1,joint_historical
wikisql,8.70309541812,82.34375,,85.6510416667,1,joint_historical
wikisql,9.28180724498,84.0625,,85.6510416667,1,joint_historical
wikisql,9.89900048132,84.375,,85.6510416667,1,joint_historical
wikisql,10.5572339462,85.3125,,85.6510416667,1,joint_historical
wikisql,11.2592366074,82.1875,,85.6510416667,1,joint_historical
wikisql,12.0079188949,84.84375,,85.6510416667,1,joint_historical
wikisql,12.8063847679,83.59375,,85.6510416667,1,joint_historical
wikisql,13.6579445829,85.15625,,85.6510416667,1,joint_historical
wikisql,14.5661288186,85.625,,85.6510416667,1,joint_historical
wikisql,15.5347027126,82.8125,,85.6510416667,1,joint_historical
wikisql,16.5676818717,84.0625,,85.6510416667,1,joint_historical
wikisql,17.6693489203,85.3125,,85.6510416667,1,joint_historical
wikisql,18.8442712556,85.15625,,85.6510416667,1,joint_historical
wikisql,20.0973199837,85.9375,,85.6510416667,1,joint_historical
wikisql,21.4336901146,84.84375,,85.6510416667,1,joint_historical
wikisql,22.8589221001,85.625,,85.6510416667,1,joint_historical
wikisql,24.3789248041,86.09375,,85.6510416667,1,joint_historical
wikisql,26,85.3125,,85.6510416667,1,joint_historical
wikisql,30,85.3125,,85.6510416667,1,joint_historical
wikisql,33.4697375328,85.3125,,85.6510416667,1,joint_historical
wikisql,37.3407776839,84.6875,,85.6510416667,1,joint_historical
wikisql,41.6595342784,85.15625,,85.6510416667,1,joint_historical
wikisql,46.477789268,86.25,,85.6510416667,1,joint_historical
wikisql,51.8533135969,86.25,,85.6510416667,1,joint_historical
wikisql,57.8505598766,85.15625,,85.6510416667,1,joint_historical
wikisql,64.5414351732,86.5625,,85.6510416667,1,joint_historical
wikisql,72.0061631747,85.3125,,85.6510416667,1,joint_historical
wikisql,80.3342460735,85.15625,,85.6510416667,1,joint_historical
wikisql,89.6255376993,86.25,,85.6510416667,1,joint_historical
wikisql,99.9914407678,84.53125,,85.6510416667,1,joint_historical
wikisql,111.556242601,88.125,,85.6510416667,1,joint_historical
wikisql,124.458605334,86.09375,,85.6510416667,1,joint_historical
wikisql,138.853228474,85.625,,85.6510416667,1,joint_historical
wikisql,154.912703754,86.71875,,85.6510416667,1,joint_historical
wikisql,172.829584505,86.875,,85.6510416667,1,joint_historical
wikisql,192.818694376,86.09375,,85.6510416667,1,joint_historical
wikisql,215.119703073,87.5,,85.6510416667,1,joint_historical
wikisql,240,86.09375,,85.6510416667,1,joint_historical
wikisql,276,85.9375,,85.6510416667,1,wide_righttail_03
wikisql,320.767029127,87.8125,,85.6510416667,1,wide_righttail_03
wikisql,372.795242662,82.8125,,85.6510416667,1,wide_righttail_03
wikisql,433.262400222,85.625,,85.6510416667,1,wide_righttail_03
wikisql,503.537293303,85.78125,,85.6510416667,1,wide_righttail_03
wikisql,585.210730533,84.53125,,85.6510416667,1,wide_righttail_03
wikisql,680.131548718,86.5625,,85.6510416667,1,wide_righttail_03
wikisql,790.448464847,86.875,,85.6510416667,1,wide_righttail_03
wikisql,918.658716473,85.9375,,85.6510416667,1,wide_righttail_03
wikisql,1067.66459154,86.40625,,85.6510416667,1,wide_righttail_03
wikisql,1240.83912729,86.875,,85.6510416667,1,wide_righttail_03
wikisql,1442.10246552,86.5625,,85.6510416667,1,wide_righttail_03
wikisql,1676.01059262,86.09375,,85.6510416667,1,wide_righttail_03
wikisql,1947.85847311,85,,85.6510416667,1,wide_righttail_03
wikisql,2263.79991152,83.59375,,85.6510416667,1,wide_righttail_03
wikisql,2630.98685563,83.90625,,85.6510416667,1,wide_righttail_03
wikisql,3057.73129476,85.15625,,85.6510416667,1,wide_righttail_03
wikisql,3553.6934177,85.625,,85.6510416667,1,wide_righttail_03
wikisql,4130.10028994,84.84375,,85.6510416667,1,wide_righttail_03
wikisql,4800,85.3125,,85.6510416667,1,wide_righttail_03
