surprisal_bin,relative_gradient_mean,n_tasks,aggregation
1,1,9,equal_task_weight_after_within_task_near_bin_normalization
2,1.2029730041003825,9,equal_task_weight_after_within_task_near_bin_normalization
3,1.331983746925762,9,equal_task_weight_after_within_task_near_bin_normalization
4,1.6295037816885634,9,equal_task_weight_after_within_task_near_bin_normalization
5,2.062820740102017,9,equal_task_weight_after_within_task_near_bin_normalization
6,2.3990010646662916,9,equal_task_weight_after_within_task_near_bin_normalization
7,3.037929393038513,9,equal_task_weight_after_within_task_near_bin_normalization
8,2.8969659943550585,9,equal_task_weight_after_within_task_near_bin_normalization
9,3.1435633846760935,9,equal_task_weight_after_within_task_near_bin_normalization
10,3.5055641613475754,9,equal_task_weight_after_within_task_near_bin_normalization
